2019-08-08 19:09:17.1227 Info Loading Cardigann definition /app/Jackett/Definitions/theshow.yml 
2019-08-08 19:09:17.1227 Info Loading Cardigann definition /app/Jackett/Definitions/tigers-dl.yml 
2019-08-08 19:09:17.1339 Info Loading Cardigann definition /app/Jackett/Definitions/unlimitz.yml 
2019-08-08 19:09:17.1339 Info Loading Cardigann definition /app/Jackett/Definitions/ilcorsaroblu.yml 
2019-08-08 19:09:17.1451 Info Loading Cardigann definition /app/Jackett/Definitions/newretro.yml 
2019-08-08 19:09:17.1451 Info Loading Cardigann definition /app/Jackett/Definitions/xwtorrents.yml 
2019-08-08 19:09:17.1565 Info Loading Cardigann definition /app/Jackett/Definitions/beyond-hd.yml 
2019-08-08 19:09:17.1618 Info Loading Cardigann definition /app/Jackett/Definitions/jpopsuki.yml 
2019-08-08 19:09:17.1618 Info Loading Cardigann definition /app/Jackett/Definitions/monova.yml 
2019-08-08 19:09:17.1618 Info Loading Cardigann definition /app/Jackett/Definitions/torrent9.yml 
2019-08-08 19:09:17.1733 Info Loading Cardigann definition /app/Jackett/Definitions/hachede.yml 
2019-08-08 19:09:17.1733 Info Loading Cardigann definition /app/Jackett/Definitions/isohunt2.yml 
2019-08-08 19:09:17.1828 Info Loading Cardigann definition /app/Jackett/Definitions/learnflakes.yml 
2019-08-08 19:09:17.1828 Info Loading Cardigann definition /app/Jackett/Definitions/pixelcove.yml 
2019-08-08 19:09:17.1924 Info Loading Cardigann definition /app/Jackett/Definitions/torrentseeds.yml 
2019-08-08 19:09:17.1924 Info Loading Cardigann definition /app/Jackett/Definitions/btdigg.yml 
2019-08-08 19:09:17.2036 Info Loading Cardigann definition /app/Jackett/Definitions/unionfansub.yml 
2019-08-08 19:09:17.2036 Info Loading Cardigann definition /app/Jackett/Definitions/eztv.yml 
2019-08-08 19:09:17.2109 Info Loading Cardigann definition /app/Jackett/Definitions/freetorrent.yml 
2019-08-08 19:09:17.2109 Info Loading Cardigann definition /app/Jackett/Definitions/4thd.yml 
2019-08-08 19:09:17.2109 Info Loading Cardigann definition /app/Jackett/Definitions/btbit.yml 
2019-08-08 19:09:17.2224 Info Loading Cardigann definition /app/Jackett/Definitions/DasUnerwartete.yml 
2019-08-08 19:09:17.2224 Info Loading Cardigann definition /app/Jackett/Definitions/avg.yml 
2019-08-08 19:09:17.2361 Info Loading Cardigann definition /app/Jackett/Definitions/audiobooktorrents.yml 
2019-08-08 19:09:17.2437 Info Loading Cardigann definition /app/Jackett/Definitions/gktorrent.yml 
2019-08-08 19:09:17.2437 Info Loading Cardigann definition /app/Jackett/Definitions/tasmanit.yml 
2019-08-08 19:09:17.2530 Info Loading Cardigann definition /app/Jackett/Definitions/gfxpeers.yml 
2019-08-08 19:09:17.2530 Info Loading Cardigann definition /app/Jackett/Definitions/turktorrent.yml 
2019-08-08 19:09:17.2620 Info Loading Cardigann definition /app/Jackett/Definitions/btnext.yml 
2019-08-08 19:09:17.2620 Info Loading Cardigann definition /app/Jackett/Definitions/cartoonchaos.yml 
2019-08-08 19:09:17.2731 Info Loading Cardigann definition /app/Jackett/Definitions/kickasstorrent-kathow.yml 
2019-08-08 19:09:17.2731 Info Loading Cardigann definition /app/Jackett/Definitions/tellytorrent.yml 
2019-08-08 19:09:17.2812 Info Loading Cardigann definition /app/Jackett/Definitions/vizuk.yml 
2019-08-08 19:09:17.2812 Info Loading Cardigann definition /app/Jackett/Definitions/cpasbienclone.yml 
2019-08-08 19:09:17.2937 Info Loading Cardigann definition /app/Jackett/Definitions/gay-torrents.yml 
2019-08-08 19:09:17.3011 Info Loading Cardigann definition /app/Jackett/Definitions/myspleen.yml 
2019-08-08 19:09:17.3011 Info Loading Cardigann definition /app/Jackett/Definitions/magico.yml 
2019-08-08 19:09:17.3118 Info Loading Cardigann definition /app/Jackett/Definitions/hdme.yml 
2019-08-08 19:09:17.3118 Info Loading Cardigann definition /app/Jackett/Definitions/torrentproject2.yml 
2019-08-08 19:09:17.3207 Info Loading Cardigann definition /app/Jackett/Definitions/alein.yml 
2019-08-08 19:09:17.3207 Info Loading Cardigann definition /app/Jackett/Definitions/bigtorrent.yml 
2019-08-08 19:09:17.3207 Info Loading Cardigann definition /app/Jackett/Definitions/theshinning.yml 
2019-08-08 19:09:17.3338 Info Loading Cardigann definition /app/Jackett/Definitions/dxdhd.yml 
2019-08-08 19:09:17.3422 Info Loading Cardigann definition /app/Jackett/Definitions/arenabg.yml 
2019-08-08 19:09:17.3422 Info Loading Cardigann definition /app/Jackett/Definitions/lapausetorrents.yml 
2019-08-08 19:09:17.3593 Info Loading Cardigann definition /app/Jackett/Definitions/digbt.yml 
2019-08-08 19:09:17.3645 Info Loading Cardigann definition /app/Jackett/Definitions/hdcity.yml 
2019-08-08 19:09:17.3712 Info Loading Cardigann definition /app/Jackett/Definitions/ebookparadijs.yml 
2019-08-08 19:09:17.3712 Info Loading Cardigann definition /app/Jackett/Definitions/rockethd.yml 
2019-08-08 19:09:17.3824 Info Loading Cardigann definition /app/Jackett/Definitions/pleasuredome.yml 
2019-08-08 19:09:17.3824 Info Loading Cardigann definition /app/Jackett/Definitions/datascene.yml 
2019-08-08 19:09:17.3914 Info Loading Cardigann definition /app/Jackett/Definitions/esharenet.yml 
2019-08-08 19:09:17.3914 Info Loading Cardigann definition /app/Jackett/Definitions/torrentgalaxyorg.yml 
2019-08-08 19:09:17.4013 Info Loading Cardigann definition /app/Jackett/Definitions/teamos.yml 
2019-08-08 19:09:17.4013 Info Loading Cardigann definition /app/Jackett/Definitions/sktorrent.yml 
2019-08-08 19:09:17.4125 Info Loading Cardigann definition /app/Jackett/Definitions/generationfree.yml 
2019-08-08 19:09:17.4217 Info Loading Cardigann definition /app/Jackett/Definitions/bitturk.yml 
2019-08-08 19:09:17.4217 Info Loading Cardigann definition /app/Jackett/Definitions/torviet.yml 
2019-08-08 19:09:17.4321 Info Loading Cardigann definition /app/Jackett/Definitions/ccfbits.yml 
2019-08-08 19:09:17.4321 Info Loading Cardigann definition /app/Jackett/Definitions/seedfile.yml 
2019-08-08 19:09:17.4409 Info Loading Cardigann definition /app/Jackett/Definitions/worldofp2p.yml 
2019-08-08 19:09:17.4409 Info Loading Cardigann definition /app/Jackett/Definitions/hamsterstudio.yml 
2019-08-08 19:09:17.4596 Info Loading Cardigann definition /app/Jackett/Definitions/sporthd.yml 
2019-08-08 19:09:17.4665 Info Loading Cardigann definition /app/Jackett/Definitions/limetorrents.yml 
2019-08-08 19:09:17.4705 Info Loading Cardigann definition /app/Jackett/Definitions/gaytorrentru.yml 
2019-08-08 19:09:17.4705 Info Loading Cardigann definition /app/Jackett/Definitions/fanoin.yml 
2019-08-08 19:09:17.4705 Info Loading Cardigann definition /app/Jackett/Definitions/torrentkitty.yml 
2019-08-08 19:09:17.4842 Info Loading Cardigann definition /app/Jackett/Definitions/sharewood.yml 
2019-08-08 19:09:17.4842 Info Loading Cardigann definition /app/Jackett/Definitions/teamhd.yml 
2019-08-08 19:09:17.4927 Info Loading Cardigann definition /app/Jackett/Definitions/hdtorrentsit.yml 
2019-08-08 19:09:17.4927 Info Loading Cardigann definition /app/Jackett/Definitions/scenefz.yml 
2019-08-08 19:09:17.5055 Info Loading Cardigann definition /app/Jackett/Definitions/theempire.yml 
2019-08-08 19:09:17.5055 Info Loading Cardigann definition /app/Jackett/Definitions/inperil.yml 
2019-08-08 19:09:17.5140 Info Loading Cardigann definition /app/Jackett/Definitions/anirena.yml 
2019-08-08 19:09:17.5140 Info Loading Cardigann definition /app/Jackett/Definitions/backups.yml 
2019-08-08 19:09:17.5226 Info Loading Cardigann definition /app/Jackett/Definitions/tokyotosho.yml 
2019-08-08 19:09:17.5226 Info Loading Cardigann definition /app/Jackett/Definitions/majomparade.yml 
2019-08-08 19:09:17.5314 Info Loading Cardigann definition /app/Jackett/Definitions/hyperay.yml 
2019-08-08 19:09:17.5314 Info Loading Cardigann definition /app/Jackett/Definitions/chdbits.yml 
2019-08-08 19:09:17.5314 Info Loading Cardigann definition /app/Jackett/Definitions/metaltracker.yml 
2019-08-08 19:09:17.5434 Info Loading Cardigann definition /app/Jackett/Definitions/linkomanija.yml 
2019-08-08 19:09:17.5434 Info Loading Cardigann definition /app/Jackett/Definitions/elitehd.yml 
2019-08-08 19:09:17.5542 Info Loading Cardigann definition /app/Jackett/Definitions/diablotorrent.yml 
2019-08-08 19:09:17.5542 Info Loading Cardigann definition /app/Jackett/Definitions/hon3yhd-net.yml 
2019-08-08 19:09:17.5653 Info Loading Cardigann definition /app/Jackett/Definitions/gfxnews.yml 
2019-08-08 19:09:17.5758 Info Loading Cardigann definition /app/Jackett/Definitions/theplace.yml 
